CT #,GRP #,M #,Client Company,Shipping Term,Transport Mode,Shipper,Consignee,Origin Country,Destination Country,Origin,Destination,Delivery,Port of Loading,Transshipment Port,Port of Discharge,Act Port Load,Act Port Disch,Cargo Ready,Act Depart,Act Arriv,Act Deliv,CT Conts ST,20,40,40HQ,45,CT CBM,CT CWT,CT GWT kg,CT Plts,Sales Invoice #,Date Issued,Issued by,Bill To Party Company,Status,Currency,Billed Sales Amount,USD Sales Amount,Sales Invoice #,SI CC,SI CC Description,USD SI CC
720001,CT720001,41001,Calderwood Brands GmbH (DE),FOB,OCEAN - FCL (AW),"Jinan Baohe Kitchenware Co., Ltd. - Jinan",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Spolka - Lodz,"Qingdao, China",,"Gdansk, Poland",12-Oct-2025,19-Nov-2025,06-Oct-2025,12-Oct-2025,19-Nov-2025,01-Dec-2025,,0,0,2,0,59.754,19818.50,19818.50,49,CB100201,21-Dec-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,11823.87,12888.02,CB100201,1301,Ocean Freight FCL,9115.83
720001,CT720001,41001,Calderwood Brands GmbH (DE),FOB,OCEAN - FCL (AW),"Jinan Baohe Kitchenware Co., Ltd. - Jinan",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Spolka - Lodz,"Qingdao, China",,"Gdansk, Poland",12-Oct-2025,19-Nov-2025,06-Oct-2025,12-Oct-2025,19-Nov-2025,01-Dec-2025,,0,0,2,0,,,,,CB100201,04-Dec-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,11823.87,-related-,CB100201,1601,Origin Handling,300.36
720001,CT720001,41001,Calderwood Brands GmbH (DE),FOB,OCEAN - FCL (AW),"Jinan Baohe Kitchenware Co., Ltd. - Jinan",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Spolka - Lodz,"Qingdao, China",,"Gdansk, Poland",12-Oct-2025,19-Nov-2025,06-Oct-2025,12-Oct-2025,19-Nov-2025,01-Dec-2025,,,,,,,,,,CB100201,16-Dec-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,11823.87,-related-,CB100201,1638,DAP + Clearance,2988.46
720001,CT720001,41001,Calderwood Brands GmbH (DE),FOB,OCEAN - FCL (AW),"Jinan Baohe Kitchenware Co., Ltd. - Jinan",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Spolka - Lodz,"Qingdao, China",,"Gdansk, Poland",12-Oct-2025,19-Nov-2025,06-Oct-2025,12-Oct-2025,19-Nov-2025,01-Dec-2025,,,,,,,,,,CB100201,11-Dec-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,11823.87,-related-,CB100201,1511,Destination Port Charges,407.64
720001,CT720001,41001,Calderwood Brands GmbH (DE),FOB,OCEAN - FCL (AW),"Jinan Baohe Kitchenware Co., Ltd. - Jinan",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Spolka - Lodz,"Qingdao, China",,"Gdansk, Poland",12-Oct-2025,19-Nov-2025,06-Oct-2025,12-Oct-2025,19-Nov-2025,01-Dec-2025,,,,,,,,,,CB100201,08-Dec-2025,Jakub Zielinski,Calderwood Brands GmbH - Hamburg,open,EUR,11823.87,-related-,CB100201,1620,Bill of Lading Fee,75.73
720002,CT720002,41002,Calderwood Brands GmbH (DE),DAP,AIR,"Yantai Ruixin Small Appliances Co., Ltd. - Yantai",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Sp. z o.o. - Gliwice,"Qingdao, China",,"Gdansk, Poland",04-Sep-2025,08-Sep-2025,29-Aug-2025,04-Sep-2025,08-Sep-2025,17-Sep-2025,,,,,,3.385,1460.42,1460.42,3,CB100202,19-Sep-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5272.58,5747.11,CB100202,1101,Airfreight,5084.96
720002,CT720002,41002,Calderwood Brands GmbH (DE),DAP,AIR,"Yantai Ruixin Small Appliances Co., Ltd. - Yantai",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Sp. z o.o. - Gliwice,"Qingdao, China",,"Gdansk, Poland",04-Sep-2025,08-Sep-2025,29-Aug-2025,04-Sep-2025,08-Sep-2025,17-Sep-2025,,,,,,,,,,CB100202,08-Oct-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5272.58,-related-,CB100202,1601,Origin Handling,165.13
720002,CT720002,41002,Calderwood Brands GmbH (DE),DAP,AIR,"Yantai Ruixin Small Appliances Co., Ltd. - Yantai",Calderwood Polska Sp. z o.o. - Poznan,China,Poland,"Qingdao, China","Gdansk, Poland",Karpaty Magazyny Sp. z o.o. - Gliwice,"Qingdao, China",,"Gdansk, Poland",04-Sep-2025,08-Sep-2025,29-Aug-2025,04-Sep-2025,08-Sep-2025,17-Sep-2025,,,,,,,,,,CB100202,04-Oct-2025,Bettina Schroeder,Calderwood Brands GmbH - Hamburg,open,EUR,5272.58,-related-,CB100202,1503,Import Trucking,497.02
720003,CT720003,41003,Calderwood Brands GmbH (DE),CIF,Trucking-Domestic,"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Calderwood Brands c/o Saalepark - Leipzig,"Qingdao, China",,"Hamburg, Germany",15-Jan-2026,18-Jan-2026,12-Jan-2026,15-Jan-2026,18-Jan-2026,23-Jan-2026,,,,,,1.339,407.29,407.29,1,CB100203,30-Jan-2026,Sanne de Waard,Calderwood Brands GmbH - Hamburg,open,EUR,1290.28,1406.40,CB100203,1401,Road Freight - Domestic,749.77
720003,CT720003,41003,Calderwood Brands GmbH (DE),CIF,Trucking-Domestic,"Dezhou Xingyuan Textile Homeware Co., Ltd. - Dezhou",Calderwood Brands GmbH - Hamburg,China,Germany,"Qingdao, China","Hamburg, Germany",Calderwood Brands c/o Saalepark - Leipzig,"Qingdao, China",,"Hamburg, Germany",15-Jan-2026,18-Jan-2026,12-Jan-2026,15-Jan-2026,18-Jan-2026,23-Jan-2026,,,,,,,,,,CB100203,03-Feb-2026,Sanne de Waard,Calderwood Brands GmbH - Hamburg,open,EUR,1290.28,-related-,CB100203,1601,Origin Handling,156.47
