Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
OCEAN-CHENNA-HAM,OCEAN,"Ocean freight Chennai to Hamburg, Germany",3620.00,USD,Per Container,Chennai,"Hamburg, Germany",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-QINGDA-HAM,OCEAN,"Ocean freight Qingdao to Hamburg, Germany",4290.00,USD,Per Container,Qingdao,"Hamburg, Germany",1301,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (CHENNAI),330.00,USD,Per Container,CHENNAI,CHENNAI port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1633,ORIGIN_COMPONENT,EXW VGM Filing (CHENNAI),52.00,USD,Per Container,CHENNAI,CHENNAI port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1634,ORIGIN_COMPONENT,EXW Seal Fee (CHENNAI),41.00,USD,Per Container,CHENNAI,CHENNAI port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1635,ORIGIN_COMPONENT,EXW Export Documentation (CHENNAI),76.00,USD,Per Container,CHENNAI,CHENNAI port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (CHENNAI),118.00,USD,Per Container,CHENNAI,CHENNAI port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-CHENNAI-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (CHENNAI),142.00,USD,Per Container,CHENNAI,CHENNAI port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (COIMBATORE),330.00,USD,Per Container,COIMBATORE,COIMBATORE port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1633,ORIGIN_COMPONENT,EXW VGM Filing (COIMBATORE),52.00,USD,Per Container,COIMBATORE,COIMBATORE port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1634,ORIGIN_COMPONENT,EXW Seal Fee (COIMBATORE),41.00,USD,Per Container,COIMBATORE,COIMBATORE port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1635,ORIGIN_COMPONENT,EXW Export Documentation (COIMBATORE),76.00,USD,Per Container,COIMBATORE,COIMBATORE port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (COIMBATORE),118.00,USD,Per Container,COIMBATORE,COIMBATORE port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-COIMBATORE-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (COIMBATORE),142.00,USD,Per Container,COIMBATORE,COIMBATORE port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (QINGDAO),295.00,USD,Per Container,QINGDAO,QINGDAO port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1633,ORIGIN_COMPONENT,EXW VGM Filing (QINGDAO),44.00,USD,Per Container,QINGDAO,QINGDAO port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1634,ORIGIN_COMPONENT,EXW Seal Fee (QINGDAO),36.00,USD,Per Container,QINGDAO,QINGDAO port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1635,ORIGIN_COMPONENT,EXW Export Documentation (QINGDAO),68.00,USD,Per Container,QINGDAO,QINGDAO port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (QINGDAO),92.00,USD,Per Container,QINGDAO,QINGDAO port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-QINGDAO-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (QINGDAO),115.00,USD,Per Container,QINGDAO,QINGDAO port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-WEIFANG-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (WEIFANG),295.00,USD,Per Container,WEIFANG,WEIFANG port,1632,,2025-01-01,CLIENT_RATE_CARD
