CT #,GRP #,M #,Client Company,Shipping Term,Transport Mode,Shipper,Consignee,Origin Country,Destination Country,Origin,Destination,Delivery,Port of Loading,Transshipment Port,Port of Discharge,Act Port Load,Act Port Disch,Cargo Ready,Act Depart,Act Arriv,Act Deliv,CT Conts ST,20,40,40HQ,45,CT CBM,CT CWT,CT GWT kg,CT Plts,Sales Invoice #,Date Issued,Issued by,Bill To Party Company,Status,Currency,Billed Sales Amount,USD Sales Amount,Sales Invoice #,SI CC,SI CC Description,USD SI CC
720001,CT720001,41001,Meritt Hardware Group S.A. (ES),DAP,AIR,"Shenzhen Baoan Weiheng Fasteners Co., Ltd. - Shenzhen",Meritt Hardware Group S.A. - Valencia,China,Spain,"Shenzhen, China","Barcelona, Spain",Plaza Zaragoza Servicios Logisticos - Zaragoza,"Shenzhen, China",,"Barcelona, Spain",2025-08-02,2025-08-06,2025-07-26,2025-08-02,2025-08-06,2025-08-08,,,,,,9.952,1661.98,1548.19,7,MH100201,2025-08-29,Nuria Bastida,Meritt Hardware Group S.A. - Valencia,open,EUR,5136.81,5599.12,MH100201,1101,Airfreight,4934.72
720001,CT720001,41001,Meritt Hardware Group S.A. (ES),DAP,AIR,"Shenzhen Baoan Weiheng Fasteners Co., Ltd. - Shenzhen",Meritt Hardware Group S.A. - Valencia,China,Spain,"Shenzhen, China","Barcelona, Spain",Plaza Zaragoza Servicios Logisticos - Zaragoza,"Shenzhen, China",,"Barcelona, Spain",2025-08-02,2025-08-06,2025-07-26,2025-08-02,2025-08-06,2025-08-08,,,,,,,,,,MH100201,2025-08-17,Nuria Bastida,Meritt Hardware Group S.A. - Valencia,open,EUR,5136.81,-related-,MH100201,1503,Import Trucking,664.40
720002,CT720002,41002,Meritt Hardware Group S.A. (ES),EXW,OCEAN - FCL (AW),"Longgang Yidatong Hand Tools Co., Ltd. - Shenzhen",Meritt Ferragens Lda. - Lisboa,China,Spain,"Shenzhen, China","Valencia, Spain",Tejo Armazenagem e Distribuicao Lda - Lisboa ,"Shenzhen, China",,"Valencia, Spain",10-Jan-2025,13-Feb-2025,07-Jan-2025,10-Jan-2025,13-Feb-2025,17-Feb-2025,,0,0,2,0,118.940,27570.51,27570.51,86,MH100202,28-Feb-2025,Nuria Bastida,Meritt Hardware Group S.A. - Valencia,open,EUR,13063.68,14239.41,MH100202,1300,Oceanfreight incl. Destination Delivery,11406.90
720002,CT720002,41002,Meritt Hardware Group S.A. (ES),EXW,OCEAN - FCL (AW),"Longgang Yidatong Hand Tools Co., Ltd. - Shenzhen",Meritt Ferragens Lda. - Lisboa,China,Spain,"Shenzhen, China","Valencia, Spain",Tejo Armazenagem e Distribuicao Lda - Lisboa ,"Shenzhen, China",,"Valencia, Spain",10-Jan-2025,13-Feb-2025,07-Jan-2025,10-Jan-2025,13-Feb-2025,17-Feb-2025,,0,0,2,0,,,,,MH100202,25-Feb-2025,Nuria Bastida,Meritt Hardware Group S.A. - Valencia,open,EUR,13063.68,-related-,MH100202,1630,EXW Origin Charges - Consolidated,2117.42
720002,CT720002,41002,Meritt Hardware Group S.A. (ES),EXW,OCEAN - FCL (AW),"Longgang Yidatong Hand Tools Co., Ltd. - Shenzhen",Meritt Ferragens Lda. - Lisboa,China,Spain,"Shenzhen, China","Valencia, Spain",Tejo Armazenagem e Distribuicao Lda - Lisboa ,"Shenzhen, China",,"Valencia, Spain",10-Jan-2025,13-Feb-2025,07-Jan-2025,10-Jan-2025,13-Feb-2025,17-Feb-2025,,,,,,,,,,MH100202,23-Feb-2025,Nuria Bastida,Meritt Hardware Group S.A. - Valencia,open,EUR,13063.68,-related-,MH100202,1601,Origin Handling,291.96
720002,CT720002,41002,Meritt Hardware Group S.A. (ES),EXW,OCEAN - FCL (AW),"Longgang Yidatong Hand Tools Co., Ltd. - Shenzhen",Meritt Ferragens Lda. - Lisboa,China,Spain,"Shenzhen, China","Valencia, Spain",Tejo Armazenagem e Distribuicao Lda - Lisboa ,"Shenzhen, China",,"Valencia, Spain",10-Jan-2025,13-Feb-2025,07-Jan-2025,10-Jan-2025,13-Feb-2025,17-Feb-2025,,,,,,,,,,MH100202,07-Mar-2025,Nuria Bastida,Meritt Hardware Group S.A. - Valencia,open,EUR,13063.68,-related-,MH100202,1505,Destination Terminal Handling,423.13
720003,CT720003,41003,Meritt Hardware Group S.A. (ES),DAP,Trucking-Domestic,"Zhongshan Guzhen Lighting Accessories Co., Ltd. - Zhongshan",Meritt Hardware Group S.A. - Valencia,China,Spain,"Shenzhen, China","Valencia, Spain",Meritt Hardware c/o Getafe Plataforma - Madrid,"Shenzhen, China",,"Valencia, Spain",07-Apr-2025,16-Apr-2025,04-Apr-2025,07-Apr-2025,16-Apr-2025,19-Apr-2025,,,,,,18.869,4526.46,4526.46,14,MH100203,28-Apr-2025,Rui Camposinhos,Meritt Hardware Group S.A. - Valencia,open,USD,2666.88,2666.88,MH100203,1401,Road Freight - Domestic,1346.80
720003,CT720003,41003,Meritt Hardware Group S.A. (ES),DAP,Trucking-Domestic,"Zhongshan Guzhen Lighting Accessories Co., Ltd. - Zhongshan",Meritt Hardware Group S.A. - Valencia,China,Spain,"Shenzhen, China","Valencia, Spain",Meritt Hardware c/o Getafe Plataforma - Madrid,"Shenzhen, China",,"Valencia, Spain",07-Apr-2025,16-Apr-2025,04-Apr-2025,07-Apr-2025,16-Apr-2025,19-Apr-2025,,,,,,,,,,MH100203,01-May-2025,Rui Camposinhos,Meritt Hardware Group S.A. - Valencia,open,USD,2666.88,-related-,MH100203,1601,Origin Handling,143.25
720003,CT720003,41003,Meritt Hardware Group S.A. (ES),DAP,Trucking-Domestic,"Zhongshan Guzhen Lighting Accessories Co., Ltd. - Zhongshan",Meritt Hardware Group S.A. - Valencia,China,Spain,"Shenzhen, China","Valencia, Spain",Meritt Hardware c/o Getafe Plataforma - Madrid,"Shenzhen, China",,"Valencia, Spain",07-Apr-2025,16-Apr-2025,04-Apr-2025,07-Apr-2025,16-Apr-2025,19-Apr-2025,,,,,,,,,,MH100203,30-Apr-2025,Rui Camposinhos,Meritt Hardware Group S.A. - Valencia,open,USD,2666.88,-related-,MH100203,1503,Import Trucking,1050.60
720003,CT720003,41003,Meritt Hardware Group S.A. (ES),DAP,Trucking-Domestic,"Zhongshan Guzhen Lighting Accessories Co., Ltd. - Zhongshan",Meritt Hardware Group S.A. - Valencia,China,Spain,"Shenzhen, China","Valencia, Spain",Meritt Hardware c/o Getafe Plataforma - Madrid,"Shenzhen, China",,"Valencia, Spain",07-Apr-2025,16-Apr-2025,04-Apr-2025,07-Apr-2025,16-Apr-2025,19-Apr-2025,,,,,,,,,,MH100203,09-May-2025,Rui Camposinhos,Meritt Hardware Group S.A. - Valencia,open,USD,2666.88,-related-,MH100203,1620,Bill of Lading Fee,55.22
