Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
OCEAN-SHENZH-BAR,OCEAN,"Ocean freight Shenzhen to Barcelona, Spain",3675.00,USD,Per Container,Shenzhen,"Barcelona, Spain",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-SHENZH-VAL,OCEAN,"Ocean freight Shenzhen to Valencia, Spain",3540.00,USD,Per Container,Shenzhen,"Valencia, Spain",1301,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (DONGGUAN),275.00,USD,Per Container,DONGGUAN,DONGGUAN port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1633,ORIGIN_COMPONENT,EXW VGM Filing (DONGGUAN),40.00,USD,Per Container,DONGGUAN,DONGGUAN port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1634,ORIGIN_COMPONENT,EXW Seal Fee (DONGGUAN),34.00,USD,Per Container,DONGGUAN,DONGGUAN port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1635,ORIGIN_COMPONENT,EXW Export Documentation (DONGGUAN),62.00,USD,Per Container,DONGGUAN,DONGGUAN port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (DONGGUAN),88.00,USD,Per Container,DONGGUAN,DONGGUAN port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (DONGGUAN),108.00,USD,Per Container,DONGGUAN,DONGGUAN port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (FOSHAN),275.00,USD,Per Container,FOSHAN,FOSHAN port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1633,ORIGIN_COMPONENT,EXW VGM Filing (FOSHAN),40.00,USD,Per Container,FOSHAN,FOSHAN port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1634,ORIGIN_COMPONENT,EXW Seal Fee (FOSHAN),34.00,USD,Per Container,FOSHAN,FOSHAN port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1635,ORIGIN_COMPONENT,EXW Export Documentation (FOSHAN),62.00,USD,Per Container,FOSHAN,FOSHAN port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (FOSHAN),88.00,USD,Per Container,FOSHAN,FOSHAN port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (FOSHAN),108.00,USD,Per Container,FOSHAN,FOSHAN port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (SHENZHEN),275.00,USD,Per Container,SHENZHEN,SHENZHEN port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1633,ORIGIN_COMPONENT,EXW VGM Filing (SHENZHEN),40.00,USD,Per Container,SHENZHEN,SHENZHEN port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1634,ORIGIN_COMPONENT,EXW Seal Fee (SHENZHEN),34.00,USD,Per Container,SHENZHEN,SHENZHEN port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1635,ORIGIN_COMPONENT,EXW Export Documentation (SHENZHEN),62.00,USD,Per Container,SHENZHEN,SHENZHEN port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (SHENZHEN),88.00,USD,Per Container,SHENZHEN,SHENZHEN port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (SHENZHEN),108.00,USD,Per Container,SHENZHEN,SHENZHEN port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1601,OTHER,Origin Handling,138.00,USD,Per Container,,,1601,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1620,OTHER,Bill of Lading Fee,58.00,USD,Per Container,,,1620,,2025-01-01,CLIENT_RATE_CARD
