Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
ORIG-DONGGUAN-1631,ORIGIN_COMPONENT,EXW Collection (DONGGUAN),560.00,USD,Per Container,DONGGUAN,DONGGUAN port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1631,ORIGIN_COMPONENT,EXW Collection (FOSHAN),745.00,USD,Per Container,FOSHAN,FOSHAN port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1631,ORIGIN_COMPONENT,EXW Collection (SHENZHEN),430.00,USD,Per Container,SHENZHEN,SHENZHEN port,1631,,2025-01-01,CLIENT_RATE_CARD
DEST-BAR-GRANOLLE,DEST_DELIVERY,"Port Barcelona, Spain to warehouse Granollers, ES",580.00,USD,Per Container,"Barcelona, Spain","Granollers, ES",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-BAR-PERPIGNA,DEST_DELIVERY,"Port Barcelona, Spain to warehouse Perpignan, FR",1020.00,USD,Per Container,"Barcelona, Spain","Perpignan, FR",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-BAR-ZARAGOZA,DEST_DELIVERY,"Port Barcelona, Spain to warehouse Zaragoza, ES",1185.00,USD,Per Container,"Barcelona, Spain","Zaragoza, ES",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-VAL-ALICANTE,DEST_DELIVERY,"Port Valencia, Spain to warehouse Alicante, ES",890.00,USD,Per Container,"Valencia, Spain","Alicante, ES",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-VAL-LISBOA,DEST_DELIVERY,"Port Valencia, Spain to warehouse Lisboa, PT",2340.00,USD,Per Container,"Valencia, Spain","Lisboa, PT",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-VAL-MADRID,DEST_DELIVERY,"Port Valencia, Spain to warehouse Madrid, ES",1560.00,USD,Per Container,"Valencia, Spain","Madrid, ES",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-VAL-RIBARROJ,DEST_DELIVERY,"Port Valencia, Spain to warehouse Ribarroja, ES",615.00,USD,Per Container,"Valencia, Spain","Ribarroja, ES",1638,,2025-01-01,CLIENT_RATE_CARD
OCEAN-SHENZH-BAR,OCEAN,"Ocean freight Shenzhen to Barcelona, Spain",3675.00,USD,Per Container,Shenzhen,"Barcelona, Spain",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-SHENZH-VAL,OCEAN,"Ocean freight Shenzhen to Valencia, Spain",3540.00,USD,Per Container,Shenzhen,"Valencia, Spain",1301,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (DONGGUAN),275.00,USD,Per Container,DONGGUAN,DONGGUAN port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1633,ORIGIN_COMPONENT,EXW VGM Filing (DONGGUAN),40.00,USD,Per Container,DONGGUAN,DONGGUAN port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1634,ORIGIN_COMPONENT,EXW Seal Fee (DONGGUAN),34.00,USD,Per Container,DONGGUAN,DONGGUAN port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1635,ORIGIN_COMPONENT,EXW Export Documentation (DONGGUAN),62.00,USD,Per Container,DONGGUAN,DONGGUAN port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (DONGGUAN),88.00,USD,Per Container,DONGGUAN,DONGGUAN port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-DONGGUAN-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (DONGGUAN),108.00,USD,Per Container,DONGGUAN,DONGGUAN port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (FOSHAN),275.00,USD,Per Container,FOSHAN,FOSHAN port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1633,ORIGIN_COMPONENT,EXW VGM Filing (FOSHAN),40.00,USD,Per Container,FOSHAN,FOSHAN port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1634,ORIGIN_COMPONENT,EXW Seal Fee (FOSHAN),34.00,USD,Per Container,FOSHAN,FOSHAN port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1635,ORIGIN_COMPONENT,EXW Export Documentation (FOSHAN),62.00,USD,Per Container,FOSHAN,FOSHAN port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (FOSHAN),88.00,USD,Per Container,FOSHAN,FOSHAN port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-FOSHAN-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (FOSHAN),108.00,USD,Per Container,FOSHAN,FOSHAN port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (SHENZHEN),275.00,USD,Per Container,SHENZHEN,SHENZHEN port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1633,ORIGIN_COMPONENT,EXW VGM Filing (SHENZHEN),40.00,USD,Per Container,SHENZHEN,SHENZHEN port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1634,ORIGIN_COMPONENT,EXW Seal Fee (SHENZHEN),34.00,USD,Per Container,SHENZHEN,SHENZHEN port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1635,ORIGIN_COMPONENT,EXW Export Documentation (SHENZHEN),62.00,USD,Per Container,SHENZHEN,SHENZHEN port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (SHENZHEN),88.00,USD,Per Container,SHENZHEN,SHENZHEN port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-SHENZHEN-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (SHENZHEN),108.00,USD,Per Container,SHENZHEN,SHENZHEN port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1601,OTHER,Origin Handling,138.00,USD,Per Container,,,1601,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1620,OTHER,Bill of Lading Fee,58.00,USD,Per Container,,,1620,,2025-01-01,CLIENT_RATE_CARD
CONSOL-CFS_DRAYAGE,CONSOLIDATION,"Warehouse to Shenzhen/Yantian port, per container",295.00,USD,Per Container,,,CFS_DRAYAGE,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_FREE_DAYS,CONSOLIDATION,Free storage period before storage bills,10.00,USD,Days,,,CFS_FREE_DAYS,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_HANDLING,CONSOLIDATION,Warehouse handling per container built,925.00,USD,Per Container,,,CFS_HANDLING,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_INBOUND,CONSOLIDATION,"Receiving an inbound delivery: unload, check, put away",130.00,USD,Per Inbound Delivery,,,CFS_INBOUND,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_STORAGE,CONSOLIDATION,Storage beyond the free period,0.38,USD,Per CBM Per Day,,,CFS_STORAGE,,2025-01-01,QUOTED_NOT_YET_BOUGHT
