CT #,GRP #,M #,Client Company,Shipping Term,Transport Mode,Shipper,Consignee,Origin Country,Destination Country,Origin,Destination,Delivery,Port of Loading,Transshipment Port,Port of Discharge,Act Port Load,Act Port Disch,Cargo Ready,Act Depart,Act Arriv,Act Deliv,CT Conts ST,20,40,40HQ,45,CT CBM,CT CWT,CT GWT kg,CT Plts,Sales Invoice #,Date Issued,Issued by,Bill To Party Company,Status,Currency,Billed Sales Amount,USD Sales Amount,Sales Invoice #,SI CC,SI CC Description,USD SI CC
720001,CT720001,41001,Northgate Supply Co. (UK),DDP,Trucking-Domestic,Saigon Hi-Tech Enclosures JSC - Ho Chi Minh City,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam",,"Felixstowe, United Kingdom",12-Jun-2025,21-Jun-2025,05-Jun-2025,12-Jun-2025,21-Jun-2025,29-Jun-2025,,,,,,39.145,16804.09,16804.09,35,NG100201,13-Jul-2025,Priya Raghunathan,Northgate Supply Co. Ltd. (UK) - Manchester,open,USD,4390.95,4390.95,NG100201,1401,Road Freight - Domestic,1875.33
720001,CT720001,41001,Northgate Supply Co. (UK),DDP,Trucking-Domestic,Saigon Hi-Tech Enclosures JSC - Ho Chi Minh City,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam",,"Felixstowe, United Kingdom",12-Jun-2025,21-Jun-2025,05-Jun-2025,12-Jun-2025,21-Jun-2025,29-Jun-2025,,,,,,,,,,NG100201,19-Jul-2025,Priya Raghunathan,Northgate Supply Co. Ltd. (UK) - Manchester,open,USD,4390.95,-related-,NG100201,1601,Origin Handling,136.49
720001,CT720001,41001,Northgate Supply Co. (UK),DDP,Trucking-Domestic,Saigon Hi-Tech Enclosures JSC - Ho Chi Minh City,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam",,"Felixstowe, United Kingdom",12-Jun-2025,21-Jun-2025,05-Jun-2025,12-Jun-2025,21-Jun-2025,29-Jun-2025,,,,,,,,,,NG100201,18-Jul-2025,Priya Raghunathan,Northgate Supply Co. Ltd. (UK) - Manchester,open,USD,4390.95,-related-,NG100201,1503,Import Trucking - 40'hc,1646.75
720001,CT720001,41001,Northgate Supply Co. (UK),DDP,Trucking-Domestic,Saigon Hi-Tech Enclosures JSC - Ho Chi Minh City,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam",,"Felixstowe, United Kingdom",12-Jun-2025,21-Jun-2025,05-Jun-2025,12-Jun-2025,21-Jun-2025,29-Jun-2025,,,,,,,,,,NG100201,06-Jul-2025,Priya Raghunathan,Northgate Supply Co. Ltd. (UK) - Manchester,open,USD,4390.95,-related-,NG100201,1411,Destination DAP charges,656.49
720001,CT720001,41001,Northgate Supply Co. (UK),DDP,Trucking-Domestic,Saigon Hi-Tech Enclosures JSC - Ho Chi Minh City,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam",,"Felixstowe, United Kingdom",12-Jun-2025,21-Jun-2025,05-Jun-2025,12-Jun-2025,21-Jun-2025,29-Jun-2025,,,,,,,,,,NG100201,07-Jul-2025,Priya Raghunathan,Northgate Supply Co. Ltd. (UK) - Manchester,open,USD,4390.95,-related-,NG100201,1600,Outlay Fee,75.89
720002,CT720002,41002,Northgate Supply Co. (UK),DAP,AIR,Meridian Industrial Trading LLC - Can Tho,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam","Port Klang, Malaysia","Felixstowe, United Kingdom",17-Apr-2026,20-Apr-2026,11-Apr-2026,17-Apr-2026,20-Apr-2026,26-Apr-2026,,,,,,2.513,545.60,545.60,2,NG100202,10-May-2026,Dilan Kaya,Northgate Supply Co. Ltd. (UK) - Manchester,open,GBP,1896.74,2541.63,NG100202,1101,Airfreight,1836.73
720002,CT720002,41002,Northgate Supply Co. (UK),DAP,AIR,Meridian Industrial Trading LLC - Can Tho,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam","Port Klang, Malaysia","Felixstowe, United Kingdom",17-Apr-2026,20-Apr-2026,11-Apr-2026,17-Apr-2026,20-Apr-2026,26-Apr-2026,,,,,,,,,,NG100202,11-May-2026,Dilan Kaya,Northgate Supply Co. Ltd. (UK) - Manchester,open,GBP,1896.74,-related-,NG100202,1601,Origin Handling,142.08
720002,CT720002,41002,Northgate Supply Co. (UK),DAP,AIR,Meridian Industrial Trading LLC - Can Tho,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam","Port Klang, Malaysia","Felixstowe, United Kingdom",17-Apr-2026,20-Apr-2026,11-Apr-2026,17-Apr-2026,20-Apr-2026,26-Apr-2026,,,,,,,,,,NG100202,13-May-2026,Dilan Kaya,Northgate Supply Co. Ltd. (UK) - Manchester,open,GBP,1896.74,-related-,NG100202,1503,Import Trucking - 40'hc,497.40
720002,CT720002,41002,Northgate Supply Co. (UK),DAP,AIR,Meridian Industrial Trading LLC - Can Tho,Northgate Supply Co. Ltd. (UK) - Manchester,Vietnam,United Kingdom,"Ho Chi Minh City, Vietnam","Felixstowe, United Kingdom",Bleckmann UK Ltd - Corby,"Ho Chi Minh City, Vietnam","Port Klang, Malaysia","Felixstowe, United Kingdom",17-Apr-2026,20-Apr-2026,11-Apr-2026,17-Apr-2026,20-Apr-2026,26-Apr-2026,,,,,,,,,,NG100202,15-May-2026,Dilan Kaya,Northgate Supply Co. Ltd. (UK) - Manchester,open,GBP,1896.74,-related-,NG100202,1620,Bill of Lading Fee,65.42
720003,CT720003,41003,Northgate Supply Co. (UK),FOB,OCEAN - FCL (AW),"Ningbo Yongtai Precision Components Co., Ltd. - Ningbo",Northgate Supply Co. Deutschland GmbH - Bremen,China,Germany,"Ningbo, China","Hamburg, Germany",BLG Logistics GmbH - Bremen,"Ningbo, China",,"Hamburg, Germany",20-May-2025,05-Jul-2025,14-May-2025,20-May-2025,05-Jul-2025,12-Jul-2025,,0,0,1,0,47.461,15657.95,15657.95,37,NG100203,27-Jul-2025,Anneke Visser,Northgate Supply Co. Ltd. (UK) - Manchester,open,USD,6455.58,6455.58,NG100203,1301,Oceanfreight - FCL,4289.42
