Rate_ID,Category,Item,Rate,Currency,Rate_Basis,Node_From,Node_To,Ch_Code,Min_Charge,Effective_From,Source
ORIG-HANGZHOU-1631,ORIGIN_COMPONENT,EXW Collection (HANGZHOU),880.00,USD,Per Container,HANGZHOU,HANGZHOU port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1631,ORIGIN_COMPONENT,EXW Collection (NINGBO),640.00,USD,Per Container,NINGBO,NINGBO port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1631,ORIGIN_COMPONENT,EXW Collection (SUZHOU),1045.00,USD,Per Container,SUZHOU,SUZHOU port,1631,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1602,ORIGIN_COMPONENT,Origin Drayage to Port,310.00,USD,Per Container,,,1602,,2025-01-01,CLIENT_RATE_CARD
DEST-FEL-CORBY,DEST_DELIVERY,"Port Felixstowe, United Kingdom to warehouse Corby, UK",1795.00,USD,Per Container,"Felixstowe, United Kingdom","Corby, UK",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-FEL-LUTTERWO,DEST_DELIVERY,"Port Felixstowe, United Kingdom to warehouse Lutterworth, UK",1840.00,USD,Per Container,"Felixstowe, United Kingdom","Lutterworth, UK",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-HAM-BREMEN,DEST_DELIVERY,"Port Hamburg, Germany to warehouse Bremen, DE",1720.00,USD,Per Container,"Hamburg, Germany","Bremen, DE",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-HAM-DUISBURG,DEST_DELIVERY,"Port Hamburg, Germany to warehouse Duisburg, DE",2140.00,USD,Per Container,"Hamburg, Germany","Duisburg, DE",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-ROT-TILBURG,DEST_DELIVERY,"Port Rotterdam, Netherlands to warehouse Tilburg, NL",1610.00,USD,Per Container,"Rotterdam, Netherlands","Tilburg, NL",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-ROT-VENLO,DEST_DELIVERY,"Port Rotterdam, Netherlands to warehouse Venlo, NL",1485.00,USD,Per Container,"Rotterdam, Netherlands","Venlo, NL",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-VAL-VALENCIA,DEST_DELIVERY,"Port Valencia, Spain to warehouse Valencia, ES",985.00,USD,Per Container,"Valencia, Spain","Valencia, ES",1638,,2025-01-01,CLIENT_RATE_CARD
DEST-VAL-ZARAGOZA,DEST_DELIVERY,"Port Valencia, Spain to warehouse Zaragoza, ES",1560.00,USD,Per Container,"Valencia, Spain","Zaragoza, ES",1638,,2025-01-01,CLIENT_RATE_CARD
OCEAN-HOCHIM-FEL,OCEAN,"Ocean freight Ho Chi Minh City to Felixstowe, United Kingdom",4290.00,USD,Per Container,Ho Chi Minh City,"Felixstowe, United Kingdom",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-HOCHIM-ROT,OCEAN,"Ocean freight Ho Chi Minh City to Rotterdam, Netherlands",4460.00,USD,Per Container,Ho Chi Minh City,"Rotterdam, Netherlands",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-NINGBO-FEL,OCEAN,"Ocean freight Ningbo to Felixstowe, United Kingdom",4025.00,USD,Per Container,Ningbo,"Felixstowe, United Kingdom",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-NINGBO-HAM,OCEAN,"Ocean freight Ningbo to Hamburg, Germany",4340.00,USD,Per Container,Ningbo,"Hamburg, Germany",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-NINGBO-ROT,OCEAN,"Ocean freight Ningbo to Rotterdam, Netherlands",4180.00,USD,Per Container,Ningbo,"Rotterdam, Netherlands",1301,,2025-01-01,CLIENT_RATE_CARD
OCEAN-NINGBO-VAL,OCEAN,"Ocean freight Ningbo to Valencia, Spain",3760.00,USD,Per Container,Ningbo,"Valencia, Spain",1301,,2025-01-01,CLIENT_RATE_CARD
ORIG-HANGZHOU-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (HANGZHOU),285.00,USD,Per Container,HANGZHOU,HANGZHOU port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-HANGZHOU-1633,ORIGIN_COMPONENT,EXW VGM Filing (HANGZHOU),42.00,USD,Per Container,HANGZHOU,HANGZHOU port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-HANGZHOU-1634,ORIGIN_COMPONENT,EXW Seal Fee (HANGZHOU),38.00,USD,Per Container,HANGZHOU,HANGZHOU port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-HANGZHOU-1635,ORIGIN_COMPONENT,EXW Export Documentation (HANGZHOU),65.00,USD,Per Container,HANGZHOU,HANGZHOU port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-HANGZHOU-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (HANGZHOU),95.00,USD,Per Container,HANGZHOU,HANGZHOU port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-HANGZHOU-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (HANGZHOU),120.00,USD,Per Container,HANGZHOU,HANGZHOU port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (NINGBO),285.00,USD,Per Container,NINGBO,NINGBO port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1633,ORIGIN_COMPONENT,EXW VGM Filing (NINGBO),42.00,USD,Per Container,NINGBO,NINGBO port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1634,ORIGIN_COMPONENT,EXW Seal Fee (NINGBO),38.00,USD,Per Container,NINGBO,NINGBO port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1635,ORIGIN_COMPONENT,EXW Export Documentation (NINGBO),65.00,USD,Per Container,NINGBO,NINGBO port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (NINGBO),95.00,USD,Per Container,NINGBO,NINGBO port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-NINGBO-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (NINGBO),120.00,USD,Per Container,NINGBO,NINGBO port,1637,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1632,ORIGIN_COMPONENT,EXW Terminal Handling (THC) (SUZHOU),285.00,USD,Per Container,SUZHOU,SUZHOU port,1632,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1633,ORIGIN_COMPONENT,EXW VGM Filing (SUZHOU),42.00,USD,Per Container,SUZHOU,SUZHOU port,1633,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1634,ORIGIN_COMPONENT,EXW Seal Fee (SUZHOU),38.00,USD,Per Container,SUZHOU,SUZHOU port,1634,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1635,ORIGIN_COMPONENT,EXW Export Documentation (SUZHOU),65.00,USD,Per Container,SUZHOU,SUZHOU port,1635,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1636,ORIGIN_COMPONENT,EXW Customs Export Declaration (SUZHOU),95.00,USD,Per Container,SUZHOU,SUZHOU port,1636,,2025-01-01,CLIENT_RATE_CARD
ORIG-SUZHOU-1637,ORIGIN_COMPONENT,EXW Origin Service Fee (SUZHOU),120.00,USD,Per Container,SUZHOU,SUZHOU port,1637,,2025-01-01,CLIENT_RATE_CARD
DTERM-1505,DEST_TERMINAL,Destination Terminal Handling,235.00,USD,Per Container,,,1505,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1601,OTHER,Origin Handling,145.00,USD,Per Container,,,1601,,2025-01-01,CLIENT_RATE_CARD
ORIG-MISC-1620,OTHER,Bill of Lading Fee,65.00,USD,Per Container,,,1620,,2025-01-01,CLIENT_RATE_CARD
CONSOL-CFS_DRAYAGE,CONSOLIDATION,"Warehouse to Ningbo/HCMC port, per container",310.00,USD,Per Container,,,CFS_DRAYAGE,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_FREE_DAYS,CONSOLIDATION,Free storage period before storage bills,7.00,USD,Days,,,CFS_FREE_DAYS,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_HANDLING,CONSOLIDATION,Warehouse handling per container built,1000.00,USD,Per Container,,,CFS_HANDLING,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_INBOUND,CONSOLIDATION,"Receiving an inbound delivery: unload, check, put away",145.00,USD,Per Inbound Delivery,,,CFS_INBOUND,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-CFS_STORAGE,CONSOLIDATION,Storage beyond the free period,0.45,USD,Per CBM Per Day,,,CFS_STORAGE,,2025-01-01,QUOTED_NOT_YET_BOUGHT
CONSOL-DECONSOL,CONSOLIDATION,Destination strip and onward local delivery,780.00,USD,Per Extra Site,,,DECONSOL,,2025-01-01,QUOTED_NOT_YET_BOUGHT
